id;date;details;status;payment_method;payment_date;payment_amount
1;2020-06-01T02:21:40;RAM Focused;PAID;CASH_ON_DELIVERY;2020-06-01T10:43:47;64379
2;2020-05-31T23:11:46;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-06-01T04:22:04;17323
3;2020-06-01T03:39:11;Incredible Baby;CANCELLED;PAYPAL;2020-06-01T07:10:52;11017
4;2020-06-01T01:09:06;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-06-01T01:13:14;51438
5;2020-05-31T19:49:14;function;PAID;PAYPAL;2020-06-01T12:23:19;32278
6;2020-05-31T20:49:02;action-items;CANCELLED;CASH_ON_DELIVERY;2020-06-01T10:36:14;5232
7;2020-06-01T13:35:45;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-06-01T07:13:07;62169
8;2020-05-31T23:30:49;Toys;ISSUED;PAYPAL;2020-06-01T10:08:46;10756
9;2020-06-01T01:01:14;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-06-01T14:44:47;58055
10;2020-05-31T23:38:59;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-06-01T12:05:10;94075
