id;placed_date;status;code
1;2020-06-01T09:43:40;COMPLETED;Georgia calculate withdrawal
2;2020-05-31T20:40:10;COMPLETED;compress Steel out-of-the-box
3;2020-05-31T22:11:22;PENDING;Concrete
4;2020-06-01T11:37:17;CANCELLED;Investment Account
5;2020-05-31T22:54:07;PENDING;United States of America
6;2020-06-01T13:06:11;CANCELLED;IB Industrial Credit Card Account
7;2020-06-01T16:12:36;CANCELLED;Cotton Egyptian Pound
8;2020-06-01T01:08:40;COMPLETED;Home Loan Account
9;2020-06-01T10:02:56;COMPLETED;Human
10;2020-05-31T20:11:34;CANCELLED;payment
